finn_kode,tittel,pris,storrelse_kvm,pris_per_kvm,boligtype,kommune,lenke
442968283,Alvimhaugen - Pen 3-roms leilighet i 1. etasje beliggende på Alvim | Overbygd balkong | Vannbåren varme inkl.,1600000.0,69.0,23188.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=442968283
432234457,Borgenhaugen - Rekkehus med barnevennlig beliggenhet| Solrik og skjermet uteplass| 3 soverom,2600000.0,110.0,23636.0,Rekkehus,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=432234457
420310665,Yven - Høytliggende tre-roms endeleilighet med langstrakt utsikt. Sol på utearealer dagen gjennom. Rolig og fredfylt nærmiljø.,2390000.0,71.0,33662.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=420310665
443461600,"Klavestadhaugen - Meget velholdt enebolig fra 1985 med 3 delplan, hems og kjeller. Dobbelgarasje fra 2000. Tilbaketrukket inntil skogholt.",4490000.0,194.0,23144.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=443461600
422915949,"Greåker - 4-roms endeleilighet med 3 soverom i loftsetasje. Sydvendt, solfylt balkong. Landlige omgivelser 10 min. unna sentrum.",2950000.0,87.0,33908.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=422915949
443460041,Sentrum - Stor 3-roms andelsleilighet i 6. etg. med fantastisk utsikt og spennende potensial. Heis i bygget. Garasjeplass.,4500000.0,119.0,37815.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=443460041
430016211,Lande - Enebolig med attraktiv beliggenhet | 3 soverom | Bad fra 2019 og klargjort for nytt bad | Nyere kjøkken og overflater,3500000.0,114.0,30702.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=430016211
436895782,Enenda/sentrum - Lekker og oppgradert enebolig - midt i Sarpsborgs idrettshjerte!,5690000.0,167.0,34072.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=436895782
449815822,Innholdsrik enebolig med stort potensial | Dobbelgarasje | Stor tomt på nesten 2 mål | Utsikt og nærhet til sjøen!,8600000.0,216.0,39815.0,Enebolig,Råde,https://www.finn.nohttps://www.finn.no/realestate/homes/ad.html?finnkode=449815822
437633490,"Karlshus, Råde - Gårdstun med mange muligheter. To bolighus, lager/verkstedbygg på 450 kvm., stabbur og bryggerhus",11900000.0,366.0,32514.0,Enebolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=437633490
449639725,Karlshus Park - Moderne og meget velholdt 2-roms fra 2020. Trappefri adkomst. Solfylt platting. Garasje. Sigdal-kjøkken med hvitevarer.,3290000.0,53.0,62075.0,Leilighet,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=449639725
448047588,Råde/Missingmyr - Bo splitter nytt i naturskjønne omgivelser | Nylig ferdigstilt | På bakkeplan | 2 parkeringsplasser i carport,4500000.0,99.0,45455.0,Leilighet,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=448047588
407877967,Råde/Saltnes - Sjønært og familievennlig på Saltnes | Stor tomt | solrik uteplass | trygge omgivelser,6250000.0,221.0,28281.0,Enebolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=407877967
432273713,Råde - Idyllisk eiendom som ligger i et landlig område. 3 soverom. Nytt yttertak i 2012. Dobbelgarasje,4990000.0,204.0,24461.0,Enebolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=432273713
436646896,Råde - Innbydende 3-roms selveierleilighet | Barnevennlig | Lave fellesutgifter | Nærhet til sentrum og grønne omgivelser!,3200000.0,90.0,35556.0,Leilighet,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=436646896
421286443,Saltnes - Romslig familiebolig med attraktiv beliggenhet | Pent opparbeidet uteområde | Gode solforhold | Parkering i garasje,4950000.0,184.0,26902.0,Enebolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=421286443
425996220,"SALTNES / Saltnes - Romslig og innholdsrik halvpart i moderne tomannsbolig, i barnevennlig område med garasje, terrasse med koselig utestue.",5250000.0,117.0,44872.0,Tomannsbolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=425996220
325816019,"Råde - Tomannsbolig med leieinntekter, solrike uteområder og idyllisk beliggenhet. Hele seks soverom!",5900000.0,198.0,29798.0,Tomannsbolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=325816019
424380078,"Råde/Karlshus - Pen og innholdsrik enebolig i rolige omgivelser | 3 sov |Stor, solrik tomt | Barnevennlig",4500000.0,164.0,27439.0,Enebolig,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=424380078
362685586,Ønsker du ny leilighet med rolig beliggenhet? - Privat takterrasse - Balkong - 2 soverom -Carport - 2. etg. - Utsikt.,3050000.0,84.0,36310.0,Leilighet,Råde,https://www.finn.no/realestate/homes/ad.html?finnkode=362685586
449508976,Rakkestad - Eiendom med landlig beliggenhet. Kondemnabel.,590000.0,116.0,5086.0,Enebolig,Rakkestad,https://www.finn.nohttps://www.finn.no/realestate/homes/ad.html?finnkode=449508976
449414127,"Moderne og påkostet enebolig med ny fasade, delikat kjøkken, energieffektive løsninger og tre soverom på samme plan",3850000.0,181.0,21271.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=449414127
449334579,"Lettstelt leilighet med to soverom og garasje - ""Egen hagedel"" - Oppgradert utvendig av borettslaget de senere år",1800000.0,70.0,25714.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=449334579
449230625,Storgata Terrasse - Pen og gjennomgående selveier i sentrum av Rakkestad - Garasjeanlegg - Vestvendt og solrikt,4500000.0,101.0,44554.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=449230625
448702146,Sjarmerende enebolig med en solrik beliggenhet på Prestegårdsfeltet - kort avstand fra sentrum - To soverom - Garasje,2650000.0,82.0,32317.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=448702146
428954845,"Sentrumsnært tun med to boliger, landlig og idyllisk beliggenhet - Vinterhage - Verksted - Mulighet for utleie",6200000.0,305.0,20328.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=428954845
447397428,"Nyoppført, lettstelt leilighet midt i Rakkestad sentrum - Vestvendt balkong - Carport med bod - 2 eller 3 soverom",2225000.0,89.0,25000.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=447397428
446404626,Lys og trivelig 3-roms rekkehusleilighet - Markterrasse og hage - Trappefri adkomst - Oppussingsbehov,1750000.0,73.0,23973.0,Leilighet,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=446404626
445904769,Gjulem - Innholdsrik enebolig i landlige omgivelser | Romslig stue med vedovn | To bad fra 2017 | Kort vei til Rakkestad sentrum,3500000.0,177.0,19774.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=445904769
407077581,Sjarmerende og sentrumsnær enebolig med påbygg/oppgraderinger i 2005 - Solrik beliggenhet - Tre soverom - Dobbelgarasje,2900000.0,132.0,21970.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=407077581
444305862,Velholdt og pent brukt 3-roms selveier - Ny i 2018 - Lave fellesutgifter - Terrasse på 18 kvm - Kun TG1 og 0,2750000.0,63.0,43651.0,Rekkehus,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=444305862
444303059,Landlig enebolig med solrik tomt og 3 soverom -  Minirenseanlegg - Sentralt i Østfold -  Kort vei til Rakkestad sentrum,2950000.0,119.0,24790.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=444303059
427472414,"Småbruk med 691 BRA bygningsmasse  enebolig, stabbur, redskapsbus, låve med korntørke. Elbillader. Flott utsikt",3500000.0,147.0,23810.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=427472414
437980609,"Moderne og stilfull enebolig med store vindusflater, fantastisk uteplass og barnevennlig beliggenhet i Prestegårdsskogen",6000000.0,208.0,28846.0,Enebolig,Rakkestad,https://www.finn.no/realestate/homes/ad.html?finnkode=437980609
